Metric,Classical,Quantum
Min Distance (m),3.345566773143657,3.314220790065383
Avg Distance (m),48.52672595775756,43.25742115463149
Std Distance (m),19.883973568379275,20.587461821485707
Min Distance Time (s),13.5,13.5
Avg Ego Speed (m/s),12.073233373948208,12.60756235088899
Avg NPC Speed (m/s),16.455620410454035,16.246123988067723
Time Below 10m (s),1.5,2.0
Time Below 5m (s),0.5,0.5
Collision,False,False
Final Distance (m),49.178777833102444,34.051055475635025
