Time,Classical_Distance,Quantum_Distance,Classical_Longitudinal,Quantum_Longitudinal,Classical_Lateral,Quantum_Lateral,Classical_Ego_Speed,Quantum_Ego_Speed,Classical_NPC_Speed,Quantum_NPC_Speed
0.5,60.10789319512115,60.10789319512115,-59.98106002807617,-59.98106002807617,-3.9026975631713867,-3.9026975631713867,0.090855263173591,0.090855263173591,0.09847700595855774,0.09847700595855774
1.0,60.993800846099134,60.993800846099134,-60.886988257296736,-60.886988257296736,3.6074563988062107,3.6074563988062107,3.6236754377877225,3.6236754377877225,0.8868942269984732,0.8868942269984732
1.5,62.77562092191864,62.77562092191864,-62.67189527897684,-62.67189527897684,3.607206559262866,3.607206559262866,5.272128236341544,5.272128236341544,1.1207356791078653,1.1207356791078653
2.0,65.1880847449457,65.1880847449457,-65.08821716517309,-65.08821716517309,3.6069677616796754,3.6069677616796754,6.8086202159118825,6.8086202159118825,1.0701645963864357,1.0701645963864357
2.5,68.39814840793723,68.39814840793723,-68.30300067924975,-68.30300067924975,3.606470955984509,3.606470955984509,8.612854857825532,8.612854857825532,1.9667664598441152,1.9667664598441152
3.0,71.26603780772942,71.26603780772942,-71.17480555844298,-71.17480555844298,3.6048604000748217,3.6048604000748217,10.30220183998056,10.30220183998056,4.883129990321735,4.883129990321735
3.5,73.21463618868586,73.21463618868586,-73.1261148573221,-73.1261148573221,3.5991793507023337,3.5991793507023337,11.878205104473656,11.878205104473656,8.966454505809828,8.966454505809828
4.0,74.32306803257796,74.32298613300708,-74.23622420009416,-74.23614218158686,3.591834953996879,3.591835431572638,13.102599563704542,13.10201209310273,11.40424980837059,11.40424980837059
4.5,74.70934243654965,74.70897192601798,-74.62337924978964,-74.6230082642833,3.5828667528170444,3.5828677558599473,13.600941474948925,13.600417901255739,13.765665707492378,13.765665707492378
5.0,74.1894117751667,74.1888206014576,-74.10335096322459,-74.10275919719456,3.572396150617993,3.5723941956981307,13.767375886769667,13.767074522111994,15.668252939806106,15.668252939806106
5.5,72.92292562175648,72.92224453387793,-72.8359366270867,-72.83525478399308,3.560791634917887,3.5607904440651375,13.820888158789272,13.82078611419588,17.12305529723213,17.12305529723213
6.0,70.91873716849342,70.91801887046685,-70.8299225030507,-70.82920346705778,3.5481236325358316,3.5481203841047972,13.837939108864754,13.837890471920238,18.525332010196966,18.525332010196966
6.5,68.23101435187094,68.23028659353727,-68.13940556192709,-68.1386769305184,3.5344802814410334,3.5344782503394248,13.843418034933324,13.843356998939235,19.89088580226216,19.89088580226216
